Sitio,Tipo,Fecha,Transecto,Bloque,Numero,Especie,FVE ID,Codigo,Largo,Swab,Dedo,Recap,Foto,Notas
JZJ-C,C,12/09/22,1,A,156,priach,priach,0300,3.5,Y,Y,N,156,
JZJ-C,C,12/09/22,1,A,157,priach,priach,0300,2.0,Y,Y,N,157,
JZJ-C,C,12/09/22,1,A,R20,priach,priach,0300,,N,N,Y,157,
JZJ-C,C,12/09/22,1,A,R21,priach,priach,0300,,N,N,Y,157,
JZJ-C,C,12/09/22,1,B,158,priach,priach,0300,2.4,Y,Y,N,157,
JZJ-C,C,12/09/22,1,B,R22,priach,priach,0300,,N,N,Y,157,
JZJ-C,C,12/09/22,1,B,159,priach,priach,0300,2.5,Y,Y,N,156,
JZJ-C,C,12/09/22,1,B,160,priach,priach,0300,2.8,Y,Y,N,155,
JZJ-C,C,12/09/22,1,C,161,priach,priach,0300,2.2,Y,Y,N,160,
JZJ-C,C,12/09/22,1,C,R23,priach,priach,0300,,N,N,Y,157,1 escapo del 1D
JZJ-C,C,12/09/22,2,A,162,priach,priach,0300,1.7,Y,Y,N,157,
JZJ-C,C,12/09/22,2,A,R24,priach,priach,0300,,N,N,Y,156,
JZJ-C,C,12/09/22,2,B,163,priach,priach,0300,3.6,Y,Y,N,155,
JZJ-C,C,12/09/22,2,B,164,priach,priach,0300,3.3,Y,Y,N,155,
JZJ-C,C,12/09/22,2,C,165,priach,priach,0300,2.3,Y,Y,N,156,
JZJ-C,C,12/09/22,2,C,166,priach,priach,0300,3.9,Y,Y,N,166,
JZJ-C,C,12/09/22,3,A,167,priach,priach,0300,3.4,Y,Y,N,166,
JZJ-C,C,12/09/22,3,B,168,priach,priach,0300,2.6,Y,Y,N,168,
JZJ-C,C,12/09/22,3,B,169,priach,priach,0300,1.9,Y,Y,N,169,
JZJ-C,C,12/09/22,3,C,170,priach,priach,0300,3.3,Y,Y,N,170,en amplexus
JZJ-C,C,12/09/22,3,C,171,priach,priach,0300,2.7,Y,Y,N,156,en amplexus
JZJ-C,C,12/09/22,3,C,R25,priach,priach,0300,,N,N,Y,170,
JZJ-C,C,12/09/22,3,C,R26,priach,priach,0300,,N,N,Y,170,
JZJ-C,C,12/09/22,3,D,172,priach,priach,0300,2.3,Y,Y,N,169,
JZJ-C,C,12/09/22,3,D,R27,priach,priach,0300,,N,N,Y,170,
JZJ-C,C,12/09/22,3,D,173,priach,priach,0300,2.5,Y,Y,N,157,
JZJ-C,C,12/09/22,4,A,174,priach,priach,0300,2.1,Y,Y,N,157,
JZJ-C,C,12/09/22,4,B,175,priach,priach,0300,3.4,Y,Y,N,170,
JZJ-C,C,12/09/22,4,C,176,priach,priach,0300,2.2,Y,Y,N,169,
JZJ-C,C,12/09/22,4,D,R28,priach,priach,0300,,N,N,Y,155,
AL-N,N,12/09/22,1,A,177,priach,priach,0200,2.4,Y,Y,N,169,
AL-N,N,12/09/22,1,A,R30,priach,priach,0200,,N,N,Y,157,
AL-N,N,12/09/22,1,A,R31,priach,priach,0200,,N,N,Y,169,
AL-N,N,12/09/22,2,C,178,priach,priach,2000 + 0300 + 0200,4.0,Y,Y,N,166,mal corté pero arreglado
AL-N,N,12/09/22,2,C,179,priach,priach,0200,2.5,Y,Y,N,169,
AL-N,N,12/09/22,3,D,180,priach,priach,2000 + 0300 + 0200,2.9,Y,Y,N,166,mal corté pero arreglado
AL-N,N,12/09/22,4,D,181,priach,priach,0200,3.5,Y,Y,N,169,
AL-N,N,12/09/22,4,D,182,priach,priach,0200,3.0,Y,Y,N,182,
FCAT-V2,V,13/09/22,2,C,183,priach,priach,0030,2.5,Y,Y,N,183,
FCAT-V2,V,13/09/22,3,B,184,priach,priach,0030,4.2,Y,Y,N,184,
FCAT-V2,V,13/09/22,3,C,185,priach,priach,0030,2.7,Y,Y,N,183,
FCAT-V2,V,13/09/22,4,D,186,pri ?,prilat,0030,2.0,Y,Y,N,186,"muerto, llevado a USFQ para muestra - es latadiscus?"
FCAT-V2,V,13/09/22,4,D,187,priach,priach,0030,3.9,Y,Y,N,184,
FCAT-B2,B,13/09/22,1,C,188,oopsyl,oopsyl,4000 + 0040 + 0030,3.1,Y,Y,N,188,mal corté pero arreglado
FCAT-B2,B,13/09/22,1,D,R32,priach,priach,0040,,,,,R32,
FCAT-B2,B,13/09/22,1,D,189,priach,priach,0040,4.0,Y,Y,N,184,
FCAT-B2,B,13/09/22,2,A,R33,priach,priach,0040,,,,,184,
FCAT-B2,B,13/09/22,2,D,190,priach,priach,0040,2.1,Y,Y,N,R32,
FCAT-B2,B,13/09/22,2,D,191,priach,priach,0040,4.0,Y,Y,N,191,
FCAT-B2,B,13/09/22,3,A,192,priach,priach,0040,3.4,Y,Y,N,191,
FCAT-B2,B,13/09/22,3,B,193,lepper,leprho,0040,11.7,Y,Y,N,193,
FCAT-B2,B,13/09/22,3,D,194,priach,priach,0040,3.6,Y,Y,N,184,
FCAT-B2,B,13/09/22,4,A,R34,priach,priach,0040,,,,,R34,
FCAT-B2,B,13/09/22,4,C,195,priach,priach,0040,2.5,Y,Y,N,184,
FCAT-B2,B,13/09/22,4,D,196,priach,priach,0040,2.7,Y,Y,N,183,
AL-N,N,14/09/22,1,C,197,priach,priach,0200,2.9,Y,Y,N,197,
AL-N,N,14/09/22,1,C,198,priach,priach,0200,2.0,Y,Y,N,198,
AL-N,N,14/09/22,1,D,199,priwal,priwal,0200,2.9,Y,Y,N,199,
AL-N,N,14/09/22,2,D,200,priach,priach,0200,2.9,Y,Y,N,200,
AL-N,N,14/09/22,3,A,201,priach,priach,0200,2.7,Y,Y,N,200,
AL-N,N,14/09/22,3,A,202,priach,priach,0200,2.9,Y,Y,N,200,
AL-N,N,14/09/22,3,B,203,priach,priach,0200,2.2,Y,Y,N,198,
AL-N,N,14/09/22,4,C,204,prilab,pries?,0200,1.4,Y,Y,N,204,traido a la USFQ
JZJ-C,C,14/09/22,1,A,R35,priach,priach,0300,,N,N,Y,197,
JZJ-C,C,14/09/22,1,C,205,priach,priach,0300,2.4,Y,Y,N,200,
JZJ-C,C,14/09/22,1,C,R36,priach,priach,0300,,N,N,Y,200,
JZJ-C,C,14/09/22,1,D,206,priach,priach,0300,2.6,Y,Y,N,197,
JZJ-C,C,14/09/22,1,D,207,priach,priach,0300,2.5,Y,Y,N,200,
JZJ-C,C,14/09/22,1,D,208,priach,priach,0300,3.9,Y,Y,N,200,
JZJ-C,C,14/09/22,1,D,209,priach,priach,0300,3.8,Y,Y,N,200,
JZJ-C,C,14/09/22,1,D,210,priach,priach,0300,2.9,Y,Y,N,200,
JZJ-C,C,14/09/22,2,A,R37,priach,priach,0300,,N,N,Y,198,
JZJ-C,C,14/09/22,2,A,R38,priach,priach,0300,,N,N,Y,200,
JZJ-C,C,14/09/22,2,B,211,priach,priach,0300,2.2,Y,Y,N,197,
JZJ-C,C,14/09/22,2,B,212,priach,priach,0300,3.7,Y,Y,N,212,
JZJ-C,C,14/09/22,2,C,213,priach,priach,0300,3.3,Y,Y,N,200,
JZJ-C,C,14/09/22,2,C,R39,priach,priach,0300,,N,N,Y,198,
JZJ-C,C,14/09/22,2,C,214,priach,priach,0300,2.5,Y,Y,N,200,
JZJ-C,C,14/09/22,2,D,215,priach,priach,0300,2.3,Y,Y,N,200,
JZJ-C,C,14/09/22,2,D,216,priach,priach,0300,2.5,Y,Y,N,216,
JZJ-C,C,14/09/22,3,A,R40,priach,priach,0300,,N,N,Y,198,
JZJ-C,C,14/09/22,3,B,217,priach,priach,0300,2.6,Y,Y,N,217,
JZJ-C,C,14/09/22,3,B,218,priach,priach,0300,1.8,Y,Y,N,198,
JZJ-C,C,14/09/22,3,C,R41,priach,priach,0300,,N,N,Y,200,
JZJ-C,C,14/09/22,4,A,R42,priach,priach,0300,,N,N,Y,200,
JZJ-C,C,14/09/22,4,A,219,priach,priach,0300,4.0,Y,Y,N,217,
JZJ-C,C,14/09/22,4,A,220,priach,priach,0300,2.0,Y,Y,N,197,
JZJ-C,C,14/09/22,4,C,R43,priach,priach,0300,,N,N,Y,200,
JZJ-C,C,14/09/22,4,C,221,priach,priach,0300,3.9,Y,Y,N,217,
JZJ-C,C,14/09/22,4,C,222,priach,priach,0300,1.6,Y,Y,N,222,
JZJ-C,C,14/09/22,4,C,223,priach,priach,0300,3.6,Y,Y,N,212,
JZJ-C,C,14/09/22,4,D,224,priach,priach,0300,3.3,Y,Y,N,217,
JZJ-C,C,14/09/22,4,D,225,priach,priach,0300,2.9,Y,Y,N,217,
FCAT-B1,B,15/09/22,1,A,226,pri?,craulon,0500,3.4,Y,Y,N,226,llevado a la USFQ
FCAT-B1,B,15/09/22,2,A,227,priach,priach,0500,1.6,Y,Y,N,227,
FCAT-B1,B,15/09/22,2,B,228,priach,priach,0500,4.2,Y,Y,N,228,
FCAT-B1,B,15/09/22,2,B,229,priach,priach,0500,3.0,Y,Y,N,229,
FCAT-B1,B,15/09/22,2,C,230,prilat,prilat,0500,2.2,Y,Y,N,230,"Pristimantis laticlavius, llevado a la estacion pero liberado"
FCAT-B1,B,15/09/22,3,A,231,epibou,epibou,0500,1.9,Y,Y,N,231,
FCAT-B1,B,15/09/22,3,A,232,priach,priach,0500,1.9,Y,Y,N,227,
FCAT-B1,B,15/09/22,3,C,233,oopsyl,oopsyl,0500,2.1,Y,Y,N,233,
FCAT-B1,B,15/09/22,3,C,234,priach,priach,0500,3.2,Y,Y,N,234,
FCAT-B1,B,15/09/22,3,C,235,epibou,epibou,0500,1.8,Y,Y,N,231,
FCAT-B1,B,15/09/22,4,A,236,priach,priach,0500,2.0,Y,Y,N,236,
FCAT-B1,B,15/09/22,4,A,237,oopsyl,oopsyl,0500,2.8,Y,Y,N,233,
FCAT-V1,V,15/09/22,1,A,238,priach,priach,2000,2.9,Y,Y,N,234,
FCAT-V1,V,15/09/22,1,C,239,priach,priach,2000 + 0200,3.7,Y,Y,N,234,"recapturado de pruebas, corté 0200 para tener un dedo"
FCAT-V1,V,15/09/22,1,C,240,priach,priach,2000,2.7,Y,Y,N,228,
FCAT-V1,V,15/09/22,2,B,241,priach,priach,2000,3.0,Y,Y,N,241,
FCAT-V1,V,15/09/22,2,B,242,pri?,craulon,2000,1.7,Y,Y,N,226,"llevado a la USFQ para muestra, mismo como 226"
FCAT-V1,V,15/09/22,2,C,243,oopsyl,oopsyl,2000,2.1,Y,Y,N,233,
FCAT-V1,V,15/09/22,2,C,244,oopsyl,oopsyl,2000,2.3,Y,Y,N,233,
FCAT-V1,V,15/09/22,2,D,245,priach,priach,2000,2.6,Y,Y,N,229,
FCAT-V1,V,15/09/22,3,B,246,priach,priach,2000,2.2,Y,Y,N,227,
FCAT-V1,V,15/09/22,3,B,247,priach,priach,2000,3.2,Y,Y,N,228,
FCAT-V1,V,15/09/22,3,C,248,priach,priach,2000,3.2,Y,Y,N,234,
FCAT-V1,V,15/09/22,4,A,249,priach,priach,2000,3.9,Y,Y,N,228,
FCAT-V1,V,15/09/22,4,A,250,priach,priach,2000,2.6,Y,Y,N,229,
FCAT-V1,V,15/09/22,4,B,251,priach,priach,2000,2.2,Y,Y,N,227,
FCAT-V1,V,15/09/22,4,D,252,priach,priach,2000,3.0,Y,Y,N,234,
FCAT-V1,V,17/09/22,1,A,R44,priach,priach,2000,,N,N,Y,R44,
FCAT-V1,V,17/09/22,1,A,253,priach,priach,2000,1.9,Y,Y,N,R44,
FCAT-V1,V,17/09/22,1,A,254,priach,priach,2000,2.3,Y,Y,N,R44,
FCAT-V1,V,17/09/22,1,B,255,priach,priach,2000,2.5,Y,Y,N,R44,
FCAT-V1,V,17/09/22,1,C,256,oopsyl,oopsyl,2000,2.7,Y,Y,N,256,
FCAT-V1,V,17/09/22,1,C,257,priach,priach,2000,2.9,Y,Y,N,257,
FCAT-V1,V,17/09/22,1,C,R45,priach,priach,2000,,N,N,Y,R45,
FCAT-V1,V,17/09/22,1,C,258,priach,priach,2000,3.7,Y,Y,N,258,
FCAT-V1,V,17/09/22,1,C,R46,priach,priach,2000,,N,N,Y,R44,
FCAT-V1,V,17/09/22,2,B,259,priach,priach,2000,3.6,Y,Y,N,259,
FCAT-V1,V,17/09/22,2,B,R47,priach,priach,2000,,N,N,Y,257,
FCAT-V1,V,17/09/22,2,C,260,priach,priach,2000,2.7,Y,Y,N,256,
FCAT-V1,V,17/09/22,2,D,261,pri ?,prinie?,2000,2.7,Y,Y,N,261,"llevado a la USFQ, estaba en un arbol"
FCAT-V1,V,17/09/22,3,A,262,priach,priach,2000,2.4,Y,Y,N,R44,
FCAT-V1,V,17/09/22,3,A,263,priach,priach,2000,2.3,Y,Y,N,263,
FCAT-V1,V,17/09/22,3,A,264,priwni ?,priros,2000,3.5,Y,Y,N,264,"llevado a la USFQ, pristmantis w nigrum?"
FCAT-V1,V,17/09/22,3,C,265,oopsyl,oopsyl,2000,2.0,Y,Y,N,256,
FCAT-V1,V,17/09/22,4,A,266,priach,priach,2000,2.0,Y,Y,N,259,
FCAT-V1,V,17/09/22,4,A,267,priach,priach,2000,3.2,Y,Y,N,267,
FCAT-V1,V,17/09/22,4,B,268,priach,priach,2000,2.7,Y,Y,N,R44,
FCAT-V1,V,17/09/22,4,C,269,oopsyl,oopsyl,2000,2.2,Y,Y,N,256,
FCAT-V1,V,17/09/22,4,D,270,priach,priach,2000,2.5,Y,Y,N,258,
FCAT-V1,V,17/09/22,4,D,271,priach,priach,2000,4.3,Y,Y,N,269,
FCAT-B1,B,17/09/22,2,D,272,priach,priach,0500,4.0,Y,Y,N,272,
FCAT-B1,B,17/09/22,3,A,273,priach,priach,2000 + 0500 + 0005,2.3,Y,Y,N,258,mal corté pero arreglado
FCAT-B1,B,17/09/22,4,A,274,bolsim,bolsim,0500,8.9,Y,Y,N,274,bolitoglossa sima
FCAT-B1,B,17/09/22,4,C,275,lepper,lepven,0500,12.5,Y,Y,N,275,foto correcta
FCAT-B1,B,17/09/22,4,D,276,pri?,pri?,0500,2.6,Y,Y,N,276,"llevado a la USFQ, estaba en un arbol"
FCAT-B1,B,19/09/22,1,A,277,oopsyl,,0500,2.4,Y,Y,N,277,
FCAT-B1,B,19/09/22,1,A,278,priach,,0500,2.3,Y,Y,N,278,
FCAT-B1,B,19/09/22,2,A,279,priach,,0500,3.6,Y,Y,N,279,
FCAT-B1,B,19/09/22,3,A,280,prilat,,0500,1.4,Y,Y,N,280,misma especies como la verde traida a la estacion 
FCAT-V1,V,19/09/22,1,A,281,prilat,,2000,1.1,Y,Y,N,281,misma especies como la verde traida a la estacion 
FCAT-V1,V,19/09/22,1,C,R48,oopsyl,,2000 + 0200,,N,N,Y,272,recapturado de prueba? no tomamos dedo
FCAT-V1,V,19/09/22,2,A,282,prilat,,2000,1.0,Y,Y,N,281,misma especies como la verde traida a la estacion 
FCAT-V1,V,19/09/22,2,A,283,pri?,,2000,2.9,Y,Y,N,283,misma como boca blanca
FCAT-V1,V,19/09/22,2,A,R49,priach,,2000,,N,N,Y,279,
FCAT-V1,V,19/09/22,2,A,284,priach,,2000,2.2,Y,Y,N,284,
FCAT-V1,V,19/09/22,2,B,285,priach,,2000,2.9,Y,Y,N,285,
FCAT-V1,V,19/09/22,2,C,R50,priach,,2000,,N,N,Y,279,
FCAT-V1,V,19/09/22,2,D,286,priach,,2000,3.1,Y,Y,N,286,
FCAT-V1,V,19/09/22,3,A,287,priach,,2000,1.7,Y,Y,N,284,
FCAT-V1,V,19/09/22,3,B,288,priach,,2000,1.7,Y,Y,N,284,
FCAT-V1,V,19/09/22,4,A,R51,priach,,2000,,N,N,Y,279,
FCAT-V1,V,19/09/22,4,B,R52,priach,,2000,,N,N,Y,279,
FCAT-V1,V,19/09/22,4,C,289,priach?,,2000,2.6,Y,Y,N,289,latidiscus?
FCAT-V1,V,19/09/22,4,C,290,oopsyl,,2000,2.4,Y,Y,N,272,