Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,X20
JS-N,Laguna,N,08/02/23,4,A,1347,barpul,NA,barpul,barpul,0002,2.3,Y,Y,N,1336,NA,NA,NA
JS-N,Laguna,N,10/02/23,3,A,1405,barpul,NA,barpul,barpul,0002,2.8,Y,Y,N,1405,NA,NA,NA
FLL-V,Laguna,V,07/10/22,4,B,425,barpul,barpul,barpul,barpul,0020,2.2,Y,Y,N,413,NA,NA,NA
FLL-V,Laguna,V,03/10/22,3,A,307,barpul,barpul,barpul,barpul,0020,1.8,Y,Y,N,295,NA,NA,NA
JS-N,Laguna,N,12/02/23,2,B,1418,barpul,NA,barpul,barpul,0002,2.5,Y,Y,N,1418,NA,NA,NA
JS-N,Laguna,N,08/02/23,2,B,1336,barpul,NA,barpul,barpul,0002,2.5,Y,Y,N,1336,NA,NA,NA
DB-N,Laguna,N,18/02/23,3,D,1494,barpul,NA,barpul,barpul,0040,2.7,Y,Y,N,1487,NA,NA,NA
FLL-C,Laguna,C,07/10/22,4,C,413,barpul,barpul,barpul,barpul,0003,3.5,Y,Y,N,413,NA,NA,NA
DB-N,Laguna,N,14/02/23,1,D,1442,barpul,NA,barpul,barpul,0040,2.4,Y,Y,N,1442,NA,NA,NA
JS-N,Laguna,N,07/10/22,4,A,432,barpul,barpul,barpul,barpul,0002,2.6,Y,Y,N,413,NA,NA,NA
LG-C,Aniseto-Caucho,C,17/11/22,3,A,832,barpul,barpul,barpul,barpul,0003,2.2,Y,Y,N,832,NA,NA,NA
JS-N,Laguna,N,07/10/22,1,B,427,barpul,barpul,barpul,barpul,0002,2.1,Y,Y,N,427,NA,NA,NA
PV-N,Aniseto-Caucho,N,15/03/23,2,A,1763,barpul,NA,barpul,barpul,0200,2.5,Y,Y,N,1763,NA,NA,NA
LG-C,Aniseto-Caucho,C,08/03/23,1,C,1678,barpul,NA,barpul,barpul,0003,2.6,Y,Y,N,1678,NA,NA,NA
FCAT-B3,Aniseto-Caucho,B,01/12/22,4,A,1094,barpul,barpul,barpul,barpul,2000,2.7,Y,Y,N,1093,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,1,C,924,barpul,barpul,barpul,barpul,4000,2.2,Y,Y,N,924,NA,NA,NA
FCAT-B3,Aniseto-Caucho,B,01/12/22,4,A,1095,barpul,barpul,barpul,barpul,2000,2,Y,Y,N,1093,NA,NA,NA
GP-C,Aniseto-Caucho,C,23/11/22,3,C,930,barpul,barpul,barpul,barpul,4000,2.6,Y,Y,N,924,NA,NA,NA
JZJ-C,Estacion,C,19/01/23,2,A,1242,barpul,NA,barpul,barpul,0300,2.3,Y,Y,N,R278,NA,NA,NA
JS-N,Laguna,N,05/10/22,1,A,395,barpul,barpul,barpul,barpul,0005,1.9,Y,Y,N,365,NA,NA,NA
FLL-V,Laguna,V,05/10/22,1,D,371,barpul,barpul,barpul,barpul,0020,2.4,Y,Y,N,365,NA,NA,NA
JS-N,Laguna,N,03/10/22,1,B,337,barpul,barpul,barpul,barpul,0002,2.2,Y,Y,N,295,NA,NA,NA
LG-N,Aniseto-Caucho,N,15/11/22,2,A,768,barpul,barpul,barpul,barpul,0002,2.2,Y,Y,N,768,NA,NA,NA
PV-N,Aniseto-Caucho,N,28/11/22,3,C,1043,barpul,barpul,barpul,barpul,0200,2.6,Y,Y,N,1043,NA,NA,NA
LL-C,Estacion,C,27/01/23,4,A,1301,barpul,NA,barpul,barpul,0003,2.5,Y,Y,N,1299,NA,NA,NA
FLL-V,Laguna,V,05/10/22,2,C,375,barpul,barpul,barpul,barpul,0020,2.5,Y,Y,N,365,NA,NA,NA
FLL-C,Laguna,C,12/02/23,4,A,1425,barpul,NA,barpul,barpul,0003,2.5,Y,Y,N,1418,NA,NA,NA
DB-N,Laguna,N,10/10/22,2,C,477,barpul,barpul,barpul,barpul,0040,2.5,Y,Y,N,475,muerto,murio,NA
FLL-V,Laguna,V,05/10/22,1,C,367,barpul,barpul,barpul,barpul,0020,2.7,Y,Y,N,367,NA,NA,NA
FLL-V,Laguna,V,03/10/22,3,B,308,barpul,barpul,barpul,barpul,0020,2.5,Y,Y,N,295,NA,NA,NA
LG-N,Aniseto-Caucho,N,15/11/22,1,D,767,priach,priach,priach,boapel,0002,2.5,Y,Y,N,763,NA,NA,NA
DB-C,Laguna,C,10/10/22,2,A,493,scitsa,scitsa,boapel,boapel,0030,2.3,Y,Y,N,486,NA,NA,NA
DB-C,Laguna,C,10/10/22,1,A,490,scitsa,scitsa,boapel,boapel,0030,1.9,Y,Y,N,486,NA,NA,NA
DB-N,Laguna,N,14/02/23,1,C,1440,boapel,NA,boapel,boapel,0040,3.7,Y,Y,N,1440,NA,NA,NA
PM-C,Aniseto-Caucho,C,22/11/22,3,A,897,scitsa,scitsa,boapel,boapel,0020,3,Y,Y,N,897,NA,Scinax tsachila,NA
AZ-C,Aniseto-Caucho,C,18/11/22,1,B,843,scitsa,scitsa,boapel,boapel,0040,4.1,Y,Y,N,843,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,A,441,boapel,boapel,boapel,boapel,0040,4.7,Y,Y,N,441,NA,NA,NA
FLL-C,Laguna,C,07/10/22,3,A,408,scitsa,scitsa,boapel,boapel,0003,2.5,Y,Y,N,404,NA,NA,NA
DB-N,Laguna,N,14/02/23,3,B,1448,boapel,NA,boapel,boapel,0040,3.7,Y,Y,N,1440,NA,NA,NA
JS-N,Laguna,N,10/02/23,1,D,1399,boapel,NA,boapel,boapel,0002,3.5,Y,Y,N,1389,NA,NA,NA
PM-C,Aniseto-Caucho,C,24/11/22,2,C,942,boapel,boapel,boapel,boapel,0020,5.3,Y,Y,N,942,NA,NA,NA
DB-N,Laguna,N,10/10/22,2,D,479,boapel,boapel,boapel,boapel,0040,4.3,Y,Y,N,476,NA,NA,NA
PV-N,Aniseto-Caucho,N,11/03/23,3,C,1715,boapel,NA,boapel,boapel,0200,2.8,Y,Y,N,NA,NA,no hay foto,NA
DB-C,Laguna,C,12/10/22,2,A,516,scitsa,scitsa,boapel,boapel,0030,2.6,Y,Y,N,R88,NA,NA,NA
DB-N,Laguna,N,14/02/23,1,D,1444,boapel,NA,boapel,boapel,0040,5.7,Y,Y,N,1440,NA,NA,NA
DB-N,Laguna,N,12/10/22,2,D,506,boapel,boapel,boapel,boapel,0040,4.5,Y,Y,N,506,NA,NA,NA
DB-C,Laguna,C,16/02/23,3,D,1471,boapel,NA,boapel,boapel,0030,0.3,Y,Y,N,R339,NA,NA,NA
DB-N,Laguna,N,08/10/22,4,B,461,scitsa,scitsa,boapel,boapel,0040,2.3,Y,Y,N,439,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,B,448,boapel,boapel,boapel,boapel,0040,4.5,Y,Y,N,448,NA,NA,NA
DB-N,Laguna,N,10/10/22,4,C,486,scitsa,scisug,boapel,boapel,0040,2.6,Y,Y,N,486,NA,NA,NA
DB-C,Laguna,C,10/10/22,1,A,489,scitsa,scitsa,boapel,boapel,0030,2.4,Y,Y,N,486,NA,NA,NA
DB-C,Laguna,C,10/10/22,4,D,501,scitsa,priach,boapel,boapel,0030,3.5,Y,Y,N,486,NA,NA,NA
DB-N,Laguna,N,12/10/22,2,B,504,boapel,boapel,boapel,boapel,0040,4.6,Y,Y,N,504,NA,NA,NA
AZ-C,Aniseto-Caucho,C,14/11/22,4,B,762,boapel,boapel,boapel,boapel,0040,4.7,Y,Y,N,762,NA,NA,NA
DB-C,Laguna,C,12/10/22,2,B,518,scitsa,scitsa,boapel,boapel,0030,2.7,Y,Y,N,R88,NA,NA,NA
JS-N,Laguna,N,08/02/23,4,C,1350,boapel,NA,boapel,boapel,0002,4,Y,Y,N,1350,NA,NA,NA
DB-N,Laguna,N,08/10/22,3,A,452,boapel,boapel,boapel,boapel,0040,5.5,Y,Y,N,452,NA,NA,NA
DB-N,Laguna,N,08/10/22,2,A,442,boapel,boapel,boapel,boapel,0040,5.3,Y,Y,N,442,muerto,murio,NA
FLL-V,Laguna,V,11/02/23,2,B,1411,boapel,NA,boapel,boapel,0020,5.5,Y,Y,N,1411,NA,NA,NA
DB-N,Laguna,N,16/02/23,1,C,1473,boapel,NA,boapel,boapel,0040,3.5,Y,Y,N,R339,NA,NA,NA
FLL-V,Laguna,V,03/10/22,1,C,298,epibou,epibou,epibou,epibou,0020,1.6,Y,Y,N,298,NA,NA,NA
DB-C,Laguna,C,14/02/23,2,C,1431,epibou,NA,epibou,epibou,0030,1.5,Y,Y,N,1428,NA,NA,NA
JS-N,Laguna,N,08/02/23,3,A,1344,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
FLL-B,Laguna,B,09/02/23,2,A,1382,epibou,NA,epibou,epibou,0005,1.4,Y,Y,N,1380,NA,NA,NA
JS-N,Laguna,N,08/02/23,2,C,1339,epibou,NA,epibou,epibou,0002,1.2,Y,Y,N,1333,NA,NA,NA
LL-N,Estacion,N,06/09/22,4,C,66,epibou,epibou,epibou,epibou,0002,1.6,Y,Y,N,66,NA,NA,NA
DG-B,Gavilanes,B,08/11/22,1,A,629,epibou,epibou,epibou,epibou,0005,1.6,Y,Y,N,617,NA,NA,NA
FCAT-B2,Estacion,B,16/01/23,1,C,1200,epibou,NA,epibou,epibou,0040,1.8,Y,Y,N,1200,NA,NA,NA
FCAT-B1,Estacion,B,15/09/22,3,A,231,epibou,epibou,epibou,epibou,0500,1.9,Y,Y,N,231,NA,NA,NA
DG-V,Gavilanes,V,08/11/22,1,C,617,epibou,epibou,epibou,epibou,0020,1.5,Y,Y,N,617,NA,NA,NA
DB-C,Laguna,C,16/02/23,2,B,1464,epibou,NA,epibou,epibou,0030,1.6,Y,Y,N,1459,NA,NA,NA
FLL-B,Laguna,B,07/02/23,1,C,1325,epibou,NA,epibou,epibou,0005,1.5,Y,Y,N,1325,NA,NA,NA
JS-N,Laguna,N,08/02/23,2,C,1340,epibou,NA,epibou,epibou,0002,1.6,Y,Y,N,1333,NA,NA,NA
DB-C,Laguna,C,16/02/23,2,C,1466,epibou,NA,epibou,epibou,0030,1.7,Y,Y,N,1459,NA,NA,NA
JS-N,Laguna,N,10/02/23,3,A,1403,epibou,NA,epibou,epibou,0002,1.8,Y,Y,N,1402,NA,NA,NA
DG-B,Gavilanes,B,20/02/23,1,B,1495,epibou,NA,epibou,epibou,0005,1.7,Y,Y,N,1495,NA,NA,NA
DG-B,Gavilanes,B,08/11/22,1,D,634,epibou,epibou,epibou,epibou,0005,3.7,Y,Y,N,R101,NA,NA,NA
DG-B,Gavilanes,B,10/11/22,1,D,698,epibou,epibou,epibou,epibou,0005,1.5,Y,Y,N,698,NA,NA,NA
JS-N,Laguna,N,08/02/23,3,A,1342,epibou,NA,epibou,epibou,0002,2,Y,Y,N,1333,NA,NA,NA
DB-C,Laguna,C,16/02/23,2,A,1463,epibou,NA,epibou,epibou,0030,1.7,Y,Y,N,1459,NA,NA,NA
JS-N,Laguna,N,12/02/23,3,B,1419,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,R330,NA,NA,NA
FCAT-B2,Estacion,B,18/01/23,2,D,1224,epibou,NA,epibou,epibou,0040,1.1,Y,Y,N,1224,NA,NA,NA
FCAT-B2,Estacion,B,16/01/23,2,D,1202,epibou,NA,epibou,epibou,0040,1.9,Y,Y,N,1200,NA,NA,NA
JS-N,Laguna,N,08/02/23,3,C,1345,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
DB-C,Laguna,C,16/02/23,1,B,1459,epibou,NA,epibou,epibou,0030,1.5,Y,Y,N,1459,NA,NA,NA
JS-N,Laguna,N,10/02/23,4,D,1409,epibou,NA,epibou,epibou,0002,1.8,Y,Y,N,1402,NA,NA,NA
JS-N,Laguna,N,08/02/23,3,A,1341,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1333,NA,NA,NA
LL-N,Estacion,N,23/01/23,4,D,1282,epibou,NA,epibou,epibou,0002,1.7,Y,Y,N,1281,NA,NA,NA
JS-N,Laguna,N,08/02/23,2,A,1335,epibou,NA,epibou,epibou,0002,1.3,Y,Y,N,1333,NA,NA,NA
FCAT-B1,Estacion,B,15/09/22,3,C,235,epibou,epibou,epibou,epibou,0500,1.8,Y,Y,N,231,NA,NA,NA
